QuestionId,SubjectId
13090,"[3, 32, 71, 77, 141, 185, 186, 214]"
1855,"[3, 71, 75, 86, 178]"
10423,"[3, 32, 38, 239]"
2290,"[3, 32, 33, 144]"
12785,"[3, 32, 33, 144]"
25704,"[3, 32, 33, 144]"
7025,"[3, 32, 33, 144]"
25830,"[3, 32, 33, 144]"
3004,"[3, 32, 33, 144]"
2275,"[3, 32, 33, 144]"
24473,"[3, 32, 34, 141]"
5026,"[3, 32, 36, 144, 202, 224]"
22385,"[3, 32, 36, 223]"
8170,"[3, 32, 36, 224]"
22462,"[3, 32, 36, 224]"
15556,"[3, 32, 36, 144, 202, 222]"
6060,"[3, 32, 36, 224]"
3695,"[3, 32, 36, 223]"
11968,"[3, 32, 144, 203]"
4815,"[3, 32, 144, 206]"
759,"[3, 32, 36, 144, 204, 224]"
11221,"[3, 32, 36, 144, 204, 224]"
25942,"[3, 32, 144, 203]"
11754,"[3, 32, 37, 220]"
7593,"[3, 32, 37, 219]"
13997,"[3, 32, 37, 220]"
21717,"[3, 32, 37, 221]"
14106,"[3, 32, 38, 239]"
11100,"[3, 32, 38, 238]"
24392,"[3, 32, 38, 239]"
18900,"[3, 32, 39, 230]"
14589,"[3, 32, 39, 225]"
2919,"[3, 32, 39, 225]"
7688,"[3, 32, 39, 225]"
21898,"[3, 32, 39, 227]"
9467,"[3, 32, 39, 225]"
26611,"[3, 32, 39, 225]"
25675,"[3, 32, 39, 225]"
11752,"[3, 32, 39, 225]"
11093,"[3, 32, 39, 230]"
22663,"[3, 32, 39, 230]"
16170,"[3, 32, 39, 230]"
22533,"[3, 32, 39, 230]"
379,"[3, 32, 39, 230]"
11864,"[3, 32, 39, 230]"
8118,"[3, 32, 39, 228]"
23161,"[3, 32, 39, 230]"
9612,"[3, 32, 39, 227]"
25343,"[3, 32, 39, 230]"
17408,"[3, 32, 40, 246]"
14809,"[3, 32, 40, 247]"
15263,"[3, 32, 42, 144, 203, 211]"
27390,"[3, 32, 42, 211]"
13452,"[3, 32, 33, 42, 144, 211, 212]"
10706,"[3, 32, 40, 42, 212, 245]"
9456,"[3, 32, 42, 211]"
11795,"[3, 32, 42, 211]"
1706,"[3, 32, 44, 233]"
27489,"[3, 32, 39, 44, 225, 233]"
20195,"[3, 32, 44, 235]"
11264,"[3, 32, 44, 235]"
4688,"[3, 32, 44, 235]"
9003,"[3, 32, 44, 233]"
880,"[3, 32, 44, 234]"
4896,"[3, 32, 44, 234]"
21460,"[3, 32, 45, 244]"
4524,"[3, 32, 45, 244]"
13002,"[3, 32, 45, 243]"
4515,"[3, 32, 45, 243]"
20388,"[3, 32, 46, 241]"
10919,"[3, 32, 46, 240]"
21367,"[3, 32, 46, 334]"
11137,"[3, 32, 46, 240]"
15340,"[3, 32, 46, 334]"
20819,"[3, 32, 46, 241]"
25004,"[3, 32, 141, 214]"
24558,"[3, 32, 141, 214]"
25895,"[3, 32, 141, 216]"
13220,"[3, 32, 141, 214]"
7904,"[3, 32, 40, 47]"
9115,"[3, 32, 40, 47]"
8221,"[3, 32, 40, 47]"
3096,"[3, 32, 40, 47]"
7032,"[3, 32, 48, 248, 249]"
19551,"[3, 32, 48, 248, 249]"
18805,"[3, 32, 48, 248, 249]"
26896,"[3, 32, 37, 144, 203, 220]"
14080,"[3, 49, 51, 152]"
9965,"[3, 49, 51, 152]"
9837,"[3, 49, 51, 152]"
20464,"[3, 49, 51, 152]"
8001,"[3, 49, 51, 152]"
6983,"[3, 49, 51, 152]"
26750,"[3, 49, 52, 153]"
3148,"[3, 49, 52, 153]"
9315,"[3, 49, 52, 153]"
22776,"[3, 49, 52, 153]"
16244,"[3, 49, 52, 153]"
20365,"[3, 49, 52, 153]"
1906,"[3, 49, 52, 153]"
4162,"[3, 49, 53, 153]"
22496,"[3, 49, 55, 267]"
16603,"[3, 49, 54, 258]"
26430,"[3, 49, 54, 263]"
5294,"[3, 49, 54, 262, 263]"
9239,"[3, 49, 59, 165]"
7215,"[3, 49, 59, 165]"
21447,"[3, 49, 59, 166]"
24743,"[3, 49, 60, 156]"
3058,"[3, 49, 60, 156]"
24705,"[3, 49, 61, 171]"
887,"[3, 49, 61, 171]"
24855,"[3, 49, 61, 171]"
2908,"[3, 49, 61, 171]"
14949,"[3, 49, 61, 171]"
24872,"[3, 49, 61, 171]"
10425,"[3, 49, 61, 171]"
5883,"[3, 49, 61, 171]"
26138,"[3, 49, 62, 70]"
4271,"[3, 49, 50, 62, 152, 251]"
3799,"[3, 49, 62, 252]"
18652,"[3, 49, 62, 252]"
23618,"[3, 49, 50, 62, 152, 251]"
3046,"[3, 49, 62, 251]"
11233,"[3, 49, 62, 252]"
14038,"[3, 49, 64, 154]"
9212,"[3, 49, 64, 154]"
2847,"[3, 49, 64, 154]"
17338,"[3, 49, 64, 154]"
5877,"[3, 49, 64, 154]"
12074,"[3, 49, 64, 154]"
18108,"[3, 49, 64, 154]"
8519,"[3, 49, 64, 154]"
22743,"[3, 49, 64, 154]"
10595,"[3, 49, 64, 154]"
377,"[3, 49, 64, 154]"
9296,"[3, 49, 64, 154]"
8301,"[3, 49, 64, 154]"
4954,"[3, 49, 65, 154]"
18744,"[3, 49, 67, 156]"
3523,"[3, 49, 67, 156]"
12551,"[3, 32, 44, 234]"
3887,"[3, 49, 67, 156]"
10799,"[3, 49, 67, 156]"
23251,"[3, 49, 62, 70]"
16119,"[3, 49, 68, 163]"
11497,"[3, 49, 68, 164]"
6359,"[3, 49, 68, 164]"
26129,"[3, 71, 73, 74]"
8719,"[3, 71, 73, 74]"
5765,"[3, 71, 73, 74]"
4563,"[3, 71, 73, 74]"
23178,"[3, 71, 73, 74]"
24435,"[3, 71, 73, 74]"
24317,"[3, 71, 73, 74]"
26311,"[3, 71, 73, 74]"
11400,"[3, 71, 73, 74]"
21719,"[3, 71, 73, 74]"
11382,"[3, 71, 74, 181, 439]"
4859,"[3, 71, 74, 181, 183]"
12285,"[3, 71, 74, 181]"
16142,"[3, 71, 74, 439]"
19688,"[3, 71, 74, 182]"
9671,"[3, 71, 74, 181, 439]"
27328,"[3, 71, 73, 74]"
1578,"[3, 71, 73, 74]"
17907,"[3, 49, 68, 164]"
18040,"[3, 71, 178, 179]"
24434,"[3, 71, 178, 179]"
24061,"[3, 71, 75, 178]"
8254,"[3, 71, 74, 76]"
13982,"[3, 71, 74, 76]"
8416,"[3, 71, 77, 186]"
6190,"[3, 71, 77, 186]"
22208,"[3, 71, 77, 186]"
17890,"[3, 71, 77, 186]"
23629,"[3, 71, 77, 186]"
13489,"[3, 71, 77, 186]"
19675,"[3, 71, 77, 185]"
16493,"[3, 71, 77, 186, 187]"
13389,"[3, 71, 77, 186]"
