UserId,Gender,DateOfBirth,PremiumPupil
58022,2,2006-08-01 00:00:00.000,1.0
104674,0,,
32020,2,2008-11-01 00:00:00.000,1.0
81780,2,2004-07-01 00:00:00.000,
99967,0,,
82944,2,2005-05-01 00:00:00.000,0.0
77439,1,2002-11-01 00:00:00.000,
91470,1,2006-10-01 00:00:00.000,
13893,2,2006-10-01 00:00:00.000,0.0
17714,0,,
70305,0,,
95543,2,2003-02-01 00:00:00.000,
2256,1,2005-12-01 00:00:00.000,0.0
52708,2,2007-10-01 00:00:00.000,
80190,1,2005-02-01 00:00:00.000,
42560,0,,
112941,2,2004-10-01 00:00:00.000,0.0
53719,2,2005-09-01 00:00:00.000,1.0
90089,1,2010-05-01 00:00:00.000,0.0
58611,0,,
59247,2,2007-09-01 00:00:00.000,1.0
90911,0,,
107180,0,,
85552,1,2007-07-01 00:00:00.000,0.0
79283,2,2004-12-01 00:00:00.000,
34893,0,,
75465,0,,
55284,2,2006-12-01 00:00:00.000,
52894,0,,
21736,1,2009-08-01 00:00:00.000,
79006,1,,
52971,1,,
70600,2,2007-06-01 00:00:00.000,0.0
13354,2,,
10603,2,2006-01-01 00:00:00.000,
83419,2,2005-04-01 00:00:00.000,
28393,2,2006-08-01 00:00:00.000,0.0
9270,1,2002-12-01 00:00:00.000,
99950,2,,
117092,2,,
21897,1,2005-07-01 00:00:00.000,0.0
109418,1,2008-07-01 00:00:00.000,0.0
101949,2,2007-10-01 00:00:00.000,
78183,2,2005-06-01 00:00:00.000,
64053,1,2004-12-01 00:00:00.000,
108447,0,,
51426,1,,
87533,0,2010-09-01 00:00:00.000,
36016,0,,
72270,1,2009-03-01 00:00:00.000,0.0
112840,1,2004-06-01 00:00:00.000,0.0
106647,1,2003-09-01 00:00:00.000,
118758,2,2008-07-01 00:00:00.000,
80649,1,2004-08-01 00:00:00.000,0.0
60414,1,2007-06-01 00:00:00.000,
101351,1,2009-08-01 00:00:00.000,
69500,2,2003-12-01 00:00:00.000,
3817,0,,
54076,0,2007-01-01 00:00:00.000,
109709,2,2006-02-01 00:00:00.000,0.0
61392,0,,
2525,2,2007-06-01 00:00:00.000,
64510,2,,
